WSR_AV	T_PK	RH50	HT50	V70	CLASS
2.8	21	0.69	5755	22.15	0
2	25.3	0.04	5770	3.7	0
1.6	25.3	0.03	5820	-1.8	0
1.6	25.9	0.41	5800	1.76	0
1.7	26.8	0.51	5795	-3.24	0
2	26.7	0.29	5795	-7.88	0
2.1	27.4	0.16	5805	-5.48	0
3.1	27.4	0.24	5795	1.17	0
3.9	26.6	0.6	5830	6.04	0
3.4	28.1	0.7	5850	0.47	0
3	28.3	0.09	5875	2.87	0
3.4	28.3	0.45	5895	2.48	0
3	29.6	0.19	5885	4.42	0
1.4	29.4	0.32	5880	2.06	0
2.5	30.4	0.73	5865	0.98	0
2.9	28.3	0.55	5870	3.23	0
4.2	29.8	0.57	5875	8.66	0
2.4	31.7	0.47	5875	7.31	0
2.4	32.6	0.16	5895	-3.21	0
3.3	30.9	0.47	5885	-3.12	0
4	31.5	0.59	5870	3.76	0
3.2	31.8	0.8	5865	10.64	0
2.3	31.4	0.84	5870	11.99	0
2	30.2	0.16	5890	5.98	0
3.2	30.4	0.47	5910	3.06	0
3.5	30.9	0.27	5915	11.06	0
4	30.9	0.03	5905	6.68	0
4.5	31.2	0.05	5890	7.03	0
3	30.8	0.26	5875	4.45	0
3.3	30.8	0.13	5885	1.95	0
4.3	30.9	0.05	5890	6.81	0
4.2	31.3	0.09	5910	12.48	0
3.2	26.1	0.22	5895	6.55	0
2.1	24.8	0.07	5850	-6.11	0
3	27.1	0.28	5835	-0.66	0
3.6	30.8	0.54	5850	2.75	0
2.8	22.3	0.48	5795	-2.32	0
2.3	23.8	0.12	5805	-9.83	0
2.3	24.3	0.28	5825	-8.15	0
2.7	25.6	0.07	5825	-2.8	0
3.2	26.1	0.19	5830	-2.57	0
3.7	26.8	0.11	5850	0.14	0
2.4	28.1	0.08	5840	7.68	0
1.5	30.2	0.16	5815	4.52	0
2	30.2	0.06	5820	-5.09	0
2.4	29.6	0.12	5825	-3.23	0
2.3	29	0.54	5820	-0.19	0
1.2	26.8	0.39	5795	-3.78	0
2	30.1	0.41	5815	-0.27	0
2.3	30.1	0.15	5850	2.56	0
2.7	30.7	0.1	5855	5.83	0
2.7	31.8	0.16	5850	6.7	0
1.6	32.5	0.19	5850	0.98	0
1.4	32.9	0.25	5855	-0.76	0
1.9	32.4	0.38	5870	-2.66	0
2.2	31.8	0.67	5880	1.66	0
2.8	31.7	0.52	5885	4.24	0
3	32.4	0.62	5875	1.45	0
2.5	31.8	0.83	5870	1.28	0
1.9	31.7	0.19	5865	-1.81	0
1.9	31.8	0.13	5875	-1.3	0
2.4	34.3	0.31	5860	-5.54	0
1.6	33.3	0.08	5850	-12.55	0
2	31.5	0.1	5815	-5.05	0
1.6	28.9	0.2	5895	2.24	0
1.7	31.8	0.32	5910	-2.44	0
1.6	32.2	0.1	5890	-9.78	0
1.6	30.9	0.37	5835	-3.38	0
1	27.7	0.32	5815	-2.2	0
1.4	27.2	0.65	5835	2.29	0
1.7	28.7	0.73	5850	2.36	0
2	30.2	0.85	5845	9.23	0
1.5	25.6	0.9	5855	7.97	0
1.8	26	0.77	5880	10.28	0
2.6	29.6	0.91	5915	8.64	0
1.7	23	0.34	5775	4.72	0
1.6	22.1	0.55	5705	2.05	0
1.7	24.9	0.7	5655	-1.93	1
2	20.2	0.09	5645	2.67	0
1.1	17.4	0.15	5695	1.47	0
1.2	21.9	0.49	5675	-3.42	0
2.3	23.8	0.04	5750	-4.54	0
2.4	24.9	0.46	5765	4.21	0
2.3	19.6	0.7	5720	4.01	0
2.6	24.2	0.45	5690	-8.31	0
3.3	21.3	0.02	5740	7.36	0
4.1	14.7	0.37	5730	8.24	0
2	17.2	0.18	5615	-4.95	0
2.6	21.9	0.14	5685	-18.4	0
3.5	22.2	0.03	5805	0.9	0
2.9	23.4	0.04	5825	1.18	0
3.2	24.3	0.3	5820	3.84	0
2.4	28.1	0.21	5765	7.24	0
2.7	24.1	0.08	5790	9.08	0
1.7	23.6	0.12	5795	9.15	0
1.1	22	0.06	5705	-23.68	0
1.1	23.8	0.1	5730	-9.14	0
3	27.6	0.63	5820	-3.04	0
3.5	24.4	0.75	5840	5.75	0
1.4	23.3	0.36	5835	7.92	0
2.2	25.7	0.46	5810	1.09	0
2.1	21.3	0.51	5795	-0.08	0
3.4	24.7	0.39	5775	1.92	0
2.5	27.8	0.4	5770	9.99	0
1	28.2	0.06	5740	-6.41	0
2	27.6	0.07	5785	-12.2	0
2.1	25.7	0.08	5815	0.29	0
2.1	27.1	0.28	5790	1.53	0
1.9	28.7	0.05	5785	-2.62	0
2.1	30	0.42	5810	2.42	0
2.2	28.7	0.11	5825	-0.24	0
4.2	28.2	0.21	5860	3.22	0
